Date,Close Price
1/1/2014,770.44
1/2/2014,808.05
1/3/2014,830.02
1/4/2014,858.98
1/5/2014,940.1
1/6/2014,951.39
1/7/2014,810.58
1/8/2014,859.95
1/9/2014,860.89
1/10/2014,884.67
1/11/2014,930.9
1/12/2014,873.26
1/13/2014,857.96
1/14/2014,851.83
1/15/2014,874.71
1/16/2014,847.37
1/17/2014,828.22
1/18/2014,843.76
1/19/2014,878.68
1/20/2014,871.05
1/21/2014,874.29
1/22/2014,863.95
1/23/2014,854.35
1/24/2014,825.12
1/25/2014,861.85
1/26/2014,880.15
1/27/2014,814.53
1/28/2014,833.94
1/29/2014,837.51
1/30/2014,845.85
1/31/2014,848.29
2/1/2014,853.02
2/2/2014,854.37
2/3/2014,846.9
2/4/2014,842.01
2/5/2014,820.87
2/6/2014,783.62
2/7/2014,703.57
2/8/2014,676.91
2/9/2014,681.94
2/10/2014,679.73
2/11/2014,669.44
2/12/2014,648.38
2/13/2014,598.41
2/14/2014,656.61
2/15/2014,645.43
2/16/2014,610.65
2/17/2014,621.49
2/18/2014,621.22
2/19/2014,617.71
2/20/2014,552.21
2/21/2014,569.04
2/22/2014,604.75
2/23/2014,604.58
2/24/2014,545.32
2/25/2014,534.71
2/26/2014,577.09
2/27/2014,576.7
2/28/2014,543.93
3/1/2014,563.74
3/2/2014,560.3
3/3/2014,661.12
3/4/2014,663.6
3/5/2014,661.79
3/6/2014,658.72
3/7/2014,625.83
3/8/2014,615.24
3/9/2014,633.18
3/10/2014,625.83
3/11/2014,628.95
3/12/2014,631.39
3/13/2014,638.16
3/14/2014,626.71
3/15/2014,633.67
3/16/2014,630.72
3/17/2014,621.22
3/18/2014,613.63
3/19/2014,608.82
3/20/2014,586.59
3/21/2014,570.77
3/22/2014,564.42
3/23/2014,561.35
3/24/2014,586.27
3/25/2014,582.28
3/26/2014,579.07
3/27/2014,478.16
3/28/2014,502.44
3/29/2014,493.18
3/30/2014,461.87
3/31/2014,458.5
4/1/2014,478.72
4/2/2014,437.51
4/3/2014,447.08
4/4/2014,448.88
4/5/2014,464.83
4/6/2014,460.7
4/7/2014,446.22
4/8/2014,450.46
4/9/2014,440.2
4/10/2014,360.84
4/11/2014,420.06
4/12/2014,420.66
4/13/2014,414.95
4/14/2014,457.63
4/15/2014,520.12
4/16/2014,529.16
4/17/2014,494.4
4/18/2014,478.23
4/19/2014,501.55
4/20/2014,497.32
4/21/2014,493.09
4/22/2014,484.43
4/23/2014,486.93
4/24/2014,500.26
4/25/2014,459.61
4/26/2014,456.14
4/27/2014,429.65
4/28/2014,437.06
4/29/2014,444.25
4/30/2014,445.87
5/1/2014,456.27
5/2/2014,446.64
5/3/2014,436.94
5/4/2014,434.06
5/5/2014,429.72
5/6/2014,426.99
5/7/2014,436.96
5/8/2014,435.34
5/9/2014,448.23
5/10/2014,452.71
5/11/2014,436.54
5/12/2014,438.43
5/13/2014,437.41
5/14/2014,441.75
5/15/2014,444.32
5/16/2014,445.01
5/17/2014,446.36
5/18/2014,444.81
5/19/2014,444.31
5/20/2014,485.83
5/21/2014,489.16
5/22/2014,526.06
5/23/2014,519.04
5/24/2014,525.63
5/25/2014,570.09
5/26/2014,581.83
5/27/2014,569.63
5/28/2014,574.45
5/29/2014,565.51
5/30/2014,616.47
5/31/2014,623.26
6/1/2014,629.02
6/2/2014,658.79
6/3/2014,665.73
6/4/2014,636.78
6/5/2014,656.06
6/6/2014,645.56
6/7/2014,652.71
6/8/2014,653.64
6/9/2014,645.34
6/10/2014,649.81
6/11/2014,627.91
6/12/2014,581.8
6/13/2014,597.43
6/14/2014,571.69
6/15/2014,591.97
6/16/2014,588.06
6/17/2014,607.34
6/18/2014,604.88
6/19/2014,592.26
6/20/2014,588.52
6/21/2014,591.03
6/22/2014,598.88
6/23/2014,587.46
6/24/2014,575.07
6/25/2014,562.13
6/26/2014,579.38
6/27/2014,600.86
6/28/2014,591.99
6/29/2014,598.6
6/30/2014,639.36
7/1/2014,635.59
7/2/2014,647.34
7/3/2014,640.69
7/4/2014,626.96
7/5/2014,628.33
7/6/2014,631.71
7/7/2014,617.99
7/8/2014,620.22
7/9/2014,620.55
7/10/2014,615.11
7/11/2014,631.18
7/12/2014,634.48
7/13/2014,627.58
7/14/2014,618.38
7/15/2014,619.36
7/16/2014,615.2
7/17/2014,622.62
7/18/2014,628.22
7/19/2014,625.8
7/20/2014,621.37
7/21/2014,620.01
7/22/2014,618.81
7/23/2014,617.93
7/24/2014,600.01
7/25/2014,599.93
7/26/2014,593.85
7/27/2014,590.95
7/28/2014,584.69
7/29/2014,582.2
7/30/2014,564.37
7/31/2014,581.35
