date,bprice,goldprice,sp,forex,oil
2014/01/01,770.44,NA,NA,NA,NA
2014/01/02,808.05,1219.75,1831.98,1.367,95.14
2014/01/03,830.02,1232.25,1831.37,1.3606,93.66
2014/01/04,858.98,NA,NA,NA,NA
2014/01/05,940.1,NA,NA,NA,NA
2014/01/06,951.39,1238,1826.77,1.3636,93.12
2014/01/07,810.58,1237.5,1837.88,1.3618,93.31
2014/01/08,859.95,1226.5,1837.49,1.3586,91.9
2014/01/09,860.89,1226,1838.13,1.3591,91.36
2014/01/10,884.67,1232.25,1842.37,1.3664,92.39
2014/01/11,930.9,NA,NA,NA,NA
2014/01/12,873.26,NA,NA,NA,NA
2014/01/13,857.96,1246,1819.2,1.3647,91.45
2014/01/14,851.83,1248.75,1838.88,1.3682,92.15
2014/01/15,874.71,1238,1848.38,1.3604,93.78
2014/01/16,847.37,1237.25,1845.89,1.36,93.54
2014/01/17,828.22,1241,1838.7,1.3554,93.96
2014/01/18,843.76,NA,NA,NA,NA
2014/01/19,878.68,NA,NA,NA,NA
2014/01/20,871.05,1254.75,NA,NA,NA
2014/01/21,874.29,1247.75,1843.8,1.356,94.51
2014/01/22,863.95,1239.5,1844.86,1.3546,96.35
2014/01/23,854.35,1244.25,1828.46,1.368,97.23
2014/01/24,825.12,1259.25,1790.29,1.368,96.66
2014/01/25,861.85,NA,NA,NA,NA
2014/01/26,880.15,NA,NA,NA,NA
2014/01/27,814.53,1270,1781.56,1.3679,95.82
2014/01/28,833.94,1253.5,1792.5,1.3662,97.49
2014/01/29,837.51,1254.75,1774.2,1.3663,97.34
2014/01/30,845.85,1254,1794.19,1.3549,98.25
2014/01/31,848.29,1246.5,1782.59,1.35,97.55
2014/02/01,853.02,NA,NA,NA,NA
2014/02/02,854.37,NA,NA,NA,NA
2014/02/03,846.9,1246.5,1741.89,1.3523,96.44
2014/02/04,842.01,1253,1755.2,1.3507,97.24
2014/02/05,820.87,1257,1751.64,1.3519,97.4
2014/02/06,783.62,1258.5,1773.43,1.3604,97.84
2014/02/07,703.57,1260,1797.02,1.3614,99.98
2014/02/08,676.91,NA,NA,NA,NA
2014/02/09,681.94,NA,NA,NA,NA
2014/02/10,679.73,1273.5,1799.84,1.3644,100.12
2014/02/11,669.44,1282.75,1819.75,1.3654,99.96
2014/02/12,648.38,1286.5,1819.26,1.3592,100.38
2014/02/13,598.41,1290.25,1829.83,1.3669,100.27
2014/02/14,656.61,1308.5,1838.63,1.369,100.31
2014/02/15,645.43,NA,NA,NA,NA
2014/02/16,610.65,NA,NA,NA,NA
2014/02/17,621.49,1326,NA,NA,NA
2014/02/18,621.22,1314,1840.76,1.3758,102.54
2014/02/19,617.71,1318.75,1828.75,1.3762,103.46
2014/02/20,552.21,1313.75,1839.78,1.369,103.2
2014/02/21,569.04,1320.75,1836.25,1.3722,102.53
2014/02/22,604.75,NA,NA,NA,NA
2014/02/23,604.58,NA,NA,NA,NA
